query,intent
What test is used to diagnose diabetes?,diagnostic_test_inquiry
Which blood test checks blood sugar levels?,diagnostic_test_inquiry
Do I need a fasting blood test for glucose?,diagnostic_test_inquiry
What test confirms type 1 diabetes?,diagnostic_test_inquiry
Which lab test identifies insulin resistance?,diagnostic_test_inquiry
What test is done for high cholesterol?,diagnostic_test_inquiry
Which blood test checks lipid profile?,diagnostic_test_inquiry
Do I need to fast before a lipid profile test?,diagnostic_test_inquiry
What is the test for thyroid function?,diagnostic_test_inquiry
Which blood test detects hypothyroidism?,diagnostic_test_inquiry
What test is used to check hyperthyroidism?,diagnostic_test_inquiry
Which scan is used for thyroid nodules?,diagnostic_test_inquiry
What test is done for anemia diagnosis?,diagnostic_test_inquiry
Which blood test shows iron deficiency?,diagnostic_test_inquiry
What test measures hemoglobin levels?,diagnostic_test_inquiry
Which blood test identifies vitamin B12 deficiency?,diagnostic_test_inquiry
What test checks for vitamin D levels?,diagnostic_test_inquiry
What lab test identifies calcium deficiency?,diagnostic_test_inquiry
What test is used for liver function?,diagnostic_test_inquiry
Which blood test checks for hepatitis?,diagnostic_test_inquiry
What scan detects liver cirrhosis?,diagnostic_test_inquiry
What test is needed for jaundice diagnosis?,diagnostic_test_inquiry
How is kidney function tested?,diagnostic_test_inquiry
Which blood test checks creatinine?,diagnostic_test_inquiry
What test is done for kidney stones?,diagnostic_test_inquiry
Which scan detects kidney disease?,diagnostic_test_inquiry
What test is performed for heart attack?,diagnostic_test_inquiry
Which blood test detects cardiac enzymes?,diagnostic_test_inquiry
What scan shows blocked arteries?,diagnostic_test_inquiry
What test is used to measure blood pressure?,diagnostic_test_inquiry
Which test confirms arrhythmia?,diagnostic_test_inquiry
What test is needed for stroke diagnosis?,diagnostic_test_inquiry
Which scan is best to detect brain stroke?,diagnostic_test_inquiry
What blood test detects clotting disorders?,diagnostic_test_inquiry
What test is done for deep vein thrombosis?,diagnostic_test_inquiry
Which imaging shows pulmonary embolism?,diagnostic_test_inquiry
What test confirms pneumonia?,diagnostic_test_inquiry
Which scan detects lung cancer?,diagnostic_test_inquiry
What test checks lung function in asthma?,diagnostic_test_inquiry
Which test measures lung capacity?,diagnostic_test_inquiry
What test diagnoses tuberculosis?,diagnostic_test_inquiry
Which test is done for sputum analysis?,diagnostic_test_inquiry
What scan detects lymph nodes in TB?,diagnostic_test_inquiry
What test is used to detect malaria?,diagnostic_test_inquiry
Which blood smear shows malaria parasites?,diagnostic_test_inquiry
What test confirms dengue infection?,diagnostic_test_inquiry
Which lab test checks for chikungunya?,diagnostic_test_inquiry
What test detects Zika virus?,diagnostic_test_inquiry
What is the diagnostic test for yellow fever?,diagnostic_test_inquiry
Which lab test confirms HIV?,diagnostic_test_inquiry
What test detects AIDS progression?,diagnostic_test_inquiry
Which test is used for syphilis?,diagnostic_test_inquiry
What lab test confirms gonorrhea?,diagnostic_test_inquiry
How is chlamydia tested?,diagnostic_test_inquiry
What test diagnoses HPV infection?,diagnostic_test_inquiry
Which test detects herpes?,diagnostic_test_inquiry
What test is performed for measles?,diagnostic_test_inquiry
Which test confirms chickenpox?,diagnostic_test_inquiry
What test shows COVID-19 infection?,diagnostic_test_inquiry
Is PCR the standard COVID test?,diagnostic_test_inquiry
What is the rapid antigen test for COVID?,diagnostic_test_inquiry
Which test confirms flu?,diagnostic_test_inquiry
What test is used for whooping cough?,diagnostic_test_inquiry
Which diagnostic test detects diphtheria?,diagnostic_test_inquiry
What lab test checks for tetanus?,diagnostic_test_inquiry
What test confirms polio?,diagnostic_test_inquiry
Which test is used to detect rabies?,diagnostic_test_inquiry
What test detects hepatitis B surface antigen?,diagnostic_test_inquiry
What blood test shows hepatitis C infection?,diagnostic_test_inquiry
What test checks for pancreatic cancer?,diagnostic_test_inquiry
Which imaging detects stomach ulcers?,diagnostic_test_inquiry
What test is used to diagnose GERD?,diagnostic_test_inquiry
Which test confirms gastritis?,diagnostic_test_inquiry
What lab test checks celiac disease?,diagnostic_test_inquiry
What test diagnoses lactose intolerance?,diagnostic_test_inquiry
Which test is done for Crohn’s disease?,diagnostic_test_inquiry
What imaging confirms ulcerative colitis?,diagnostic_test_inquiry
What scan is used to detect colon cancer?,diagnostic_test_inquiry
Which test checks for prostate cancer?,diagnostic_test_inquiry
What test diagnoses ovarian cancer?,diagnostic_test_inquiry
Which blood test detects breast cancer?,diagnostic_test_inquiry
What scan detects cervical cancer?,diagnostic_test_inquiry
What test is the Pap smear for?,diagnostic_test_inquiry
Which test is done for HPV detection?,diagnostic_test_inquiry
What imaging shows brain tumors?,diagnostic_test_inquiry
What scan is used for spinal injuries?,diagnostic_test_inquiry
What test is done for osteoporosis?,diagnostic_test_inquiry
Which scan detects bone density?,diagnostic_test_inquiry
What test diagnoses arthritis?,diagnostic_test_inquiry
Which blood test detects rheumatoid arthritis?,diagnostic_test_inquiry
What test confirms lupus?,diagnostic_test_inquiry
Which antibody test detects autoimmune diseases?,diagnostic_test_inquiry
What test is done for multiple sclerosis?,diagnostic_test_inquiry
Which scan checks for amyotrophic lateral sclerosis?,diagnostic_test_inquiry
What test is used to detect Alzheimer’s?,diagnostic_test_inquiry
What imaging diagnoses Parkinson’s disease?,diagnostic_test_inquiry
What scan is used for dementia workups?,diagnostic_test_inquiry
What test determines vitamin deficiencies?,diagnostic_test_inquiry
Which test checks electrolytes in the blood?,diagnostic_test_inquiry
What blood test is used for sepsis?,diagnostic_test_inquiry
Which test detects septic shock?,diagnostic_test_inquiry
What lab test checks white blood cell count?,diagnostic_test_inquiry
How do doctors confirm meningitis?,diagnostic_test_inquiry
Which imaging is used for meningitis?,diagnostic_test_inquiry
What test diagnoses encephalitis?,diagnostic_test_inquiry
Which test detects brain infections?,diagnostic_test_inquiry
What scan confirms epilepsy activity?,diagnostic_test_inquiry
What test is used for EEG monitoring?,diagnostic_test_inquiry
Which imaging shows seizure activity?,diagnostic_test_inquiry
What test is done for trigeminal neuralgia?,diagnostic_test_inquiry
Which scan helps diagnose Bell’s palsy?,diagnostic_test_inquiry
What test measures brain tumors?,diagnostic_test_inquiry
Which scan confirms pituitary tumors?,diagnostic_test_inquiry
What imaging is used for hypothalamic disorders?,diagnostic_test_inquiry
What test diagnoses hydrocephalus?,diagnostic_test_inquiry
Which scan detects aneurysms?,diagnostic_test_inquiry
What imaging shows blocked arteries in the brain?,diagnostic_test_inquiry
Which test confirms multiple sclerosis?,diagnostic_test_inquiry
Is MRI the standard for MS diagnosis?,diagnostic_test_inquiry
What scan detects spinal cord damage?,diagnostic_test_inquiry
Which test is used for ALS screening?,diagnostic_test_inquiry
What imaging is performed for Huntington’s disease?,diagnostic_test_inquiry
What test diagnoses macular degeneration?,diagnostic_test_inquiry
Which test detects glaucoma?,diagnostic_test_inquiry
What is the standard test for cataracts?,diagnostic_test_inquiry
Which scan confirms diabetic retinopathy?,diagnostic_test_inquiry
What test is performed for retinal detachment?,diagnostic_test_inquiry
What diagnostic test checks dry eye syndrome?,diagnostic_test_inquiry
Which test diagnoses keratoconus?,diagnostic_test_inquiry
What imaging detects corneal ulcers?,diagnostic_test_inquiry
What test checks for optic neuritis?,diagnostic_test_inquiry
How do doctors confirm hearing loss?,diagnostic_test_inquiry
Which test diagnoses tinnitus?,diagnostic_test_inquiry
What is the test for balance disorders?,diagnostic_test_inquiry
Which scan checks for Meniere’s disease?,diagnostic_test_inquiry
How is vertigo diagnosed?,diagnostic_test_inquiry
What test is used for labrynthitis?,diagnostic_test_inquiry
Which test evaluates ear infections?,diagnostic_test_inquiry
What test confirms sinus infection?,diagnostic_test_inquiry
Which scan shows sinus blockage?,diagnostic_test_inquiry
What imaging is used for tonsillitis?,diagnostic_test_inquiry
What diagnostic test checks pharyngitis?,diagnostic_test_inquiry
Which test confirms laryngitis?,diagnostic_test_inquiry
What test is used for bronchitis?,diagnostic_test_inquiry
How do doctors test for asthma?,diagnostic_test_inquiry
Which test checks lung capacity?,diagnostic_test_inquiry
What is spirometry used for?,diagnostic_test_inquiry
What imaging is done for COPD?,diagnostic_test_inquiry
Which tests measure oxygen saturation?,diagnostic_test_inquiry
What test confirms interstitial lung disease?,diagnostic_test_inquiry
What scan detects pulmonary fibrosis?,diagnostic_test_inquiry
Which test diagnoses cystic fibrosis?,diagnostic_test_inquiry
How is bronchiectasis tested?,diagnostic_test_inquiry
What confirms sarcoidosis?,diagnostic_test_inquiry
Which test identifies hypersensitivity pneumonitis?,diagnostic_test_inquiry
What lab test checks acid-base imbalance?,diagnostic_test_inquiry
Which blood test measures arterial blood gases?,diagnostic_test_inquiry
What diagnostic test evaluates sleep apnea?,diagnostic_test_inquiry
How are sleep studies done?,diagnostic_test_inquiry
What test diagnoses insomnia?,diagnostic_test_inquiry
Which test checks restless leg syndrome?,diagnostic_test_inquiry
What test confirms narcolepsy?,diagnostic_test_inquiry
Which scan is used for chronic fatigue syndrome diagnosis?,diagnostic_test_inquiry
What blood tests detect depression-related changes?,diagnostic_test_inquiry
What imaging is done for anxiety disorders?,diagnostic_test_inquiry
Are brain scans used for schizophrenia diagnosis?,diagnostic_test_inquiry
What tools diagnose bipolar disorder?,diagnostic_test_inquiry
Which tests are used for autism screening?,diagnostic_test_inquiry
What assessments detect ADHD in adults?,diagnostic_test_inquiry
What is the test for eating disorders?,diagnostic_test_inquiry
Which blood tests confirm anorexia complications?,diagnostic_test_inquiry
What scans help with bulimia complications?,diagnostic_test_inquiry
Which test is used for binge eating disorder?,diagnostic_test_inquiry
What test diagnoses PTSD?,diagnostic_test_inquiry
Do MRIs show OCD brain changes?,diagnostic_test_inquiry
How is phobia diagnosed?,diagnostic_test_inquiry
What screening tools detect dementia?,diagnostic_test_inquiry
Which test confirms Alzheimer’s disease?,diagnostic_test_inquiry
What imaging is used for Parkinson’s disease?,diagnostic_test_inquiry
Which test helps identify Huntington’s disease?,diagnostic_test_inquiry
What blood test diagnoses lupus?,diagnostic_test_inquiry
Which antibody test detects Sjogren’s syndrome?,diagnostic_test_inquiry
What lab test helps in vasculitis diagnosis?,diagnostic_test_inquiry
How is scleroderma diagnosed?,diagnostic_test_inquiry
Which tests confirm rheumatoid arthritis?,diagnostic_test_inquiry
What imaging shows osteoarthritis?,diagnostic_test_inquiry
What scan detects osteoporosis?,diagnostic_test_inquiry
What test diagnoses fibromyalgia?,diagnostic_test_inquiry
Do blood tests confirm sciatica?,diagnostic_test_inquiry
Which imaging is best for herniated discs?,diagnostic_test_inquiry
What test detects scoliosis?,diagnostic_test_inquiry
Which scan shows ankylosing spondylitis?,diagnostic_test_inquiry
What diagnostic test confirms gout?,diagnostic_test_inquiry
Which test shows uric acid levels?,diagnostic_test_inquiry
